"year","pp"
1979,2245.09917133213
1980,2715.74104760952
1981,2349.7613473735
1982,2867.01318961758
1983,1750.03664037086
1984,2583.99653843984
1985,1967.8236461884
1986,2484.56668012383
1987,1800.96548285198
1988,1823.03213752678
1989,1638.19073860008
1990,1844.54970418591
1991,2286.2986564756
1992,2316.56067055545
1993,2587.58384379382
1994,2328.90273538638
1995,2238.09919875181
1996,1335.88801427461
1997,2664.3135471398
1998,918.516476183503
1999,1724.02505919713
2000,2303.85832915197
2001,2368.34246834766
2002,2567.09850910946
2003,1885.50687559593
2004,2051.80936860324
2005,2471.24868608934
2006,2634.92897991333
2007,1428.56395885112
2008,2018.18245523467
2009,2323.71678102897
2010,1674.77308781906
2011,1815.2894303035
2012,1806.5690303962
2013,1687.65671569647
2014,2186.61027383829
2015,1970.26857662798
2016,1298.03109766636
2017,1936.48168657487
2018,2061.22711827232
2019,1888.02945915583
