"variable","valor"
"Código BNA","8317001"
"Fecha inicial","1979-01-01"
"Fecha final","2020-04-30"
"Días de registro","15096"
"Días sin dato","0"
"Días con pp >= 1 mm (%)","33"
"Precipitación diaria media (mm)","5.63"
"Máximo diario (mm)","155"
"Fecha del máximo diario","1997-04-22"
"Años completos","41 (1979-2019)"
"Precipitación anual media (mm)","2069.5"
"Desviación estándar anual (mm)","429.5"
"Coeficiente de variación anual (-)","0.208"
"Año más lluvioso","1982"
"Total del año más lluvioso (mm)","2867"
"Año más seco","1998"
"Total del año más seco (mm)","918.5"
"Mes más lluvioso (media)","jun"
"Mes más seco (media)","feb"
