"year","month","pp","anom"
1979,1,19.99198947,-27.9296711298905
1979,2,13.035849643,-34.5452431742269
1979,3,25.079476350412,-35.7129743728819
1979,4,36.44419819629,-105.404157693605
1979,5,319.763164219835,-0.0557592333576622
1979,6,120.28205673959,-283.875036680841
1979,7,485.798921525,173.535926023793
1979,8,519.47259694,245.689678039718
1979,9,251.208828477,84.1806988936947
1979,10,128.1399612256,-7.04020803537361
1979,11,189.6375519,101.812107990039
1979,12,136.2445766454,68.9761062985894
1980,1,0.087582891,-47.8340777088905
1980,2,247.94579459412,200.364701776893
1980,3,41.36394428052,-19.4285064427739
1980,4,355.69639563961,213.848039749715
1980,5,716.673934315,396.855010861807
1980,6,421.4881918463,17.3310984258694
1980,7,298.187520437,-14.0754750642068
1980,8,307.993364725,34.2104458247176
1980,9,96.84479942,-70.1833301633053
1980,10,3.524659686729,-131.655509574245
1980,11,113.87944054567,26.0539966357088
1980,12,112.05541922857,44.7869488817594
1981,1,217.7064006405,169.78474004061
1981,2,23.07624722978,-24.5048455874469
1981,3,72.806798455,12.0143477317061
1981,4,133.94271815452,-7.90563773537539
1981,5,825.365565296,505.546641842807
1981,6,286.988232763,-117.168860657431
1981,7,329.4654859002,17.2024903989932
1981,8,147.124583752,-126.658335148282
1981,9,140.3800572168,-26.6480723665053
1981,10,87.323596506,-47.8565727549736
1981,11,36.306224875,-51.5192190349612
1981,12,49.2754365847,-17.9930337621106
1982,1,66.5709435362,18.6492829363095
1982,2,71.19981418461,23.6187213673831
1982,3,73.51442329,12.7219725667061
1982,4,40.0094297034,-101.838926186495
1982,5,408.5035899315,88.6846664783073
1982,6,585.703040524,181.545947103569
1982,7,579.31087116086,267.047875659653
1982,8,313.1093334588,39.3264145585176
1982,9,282.23244874,115.204319156695
1982,10,328.570199558712,193.390030297738
1982,11,112.522877552,24.6974336420388
1982,12,5.7662179775,-61.5022523693106
1983,1,106.501575788159,58.5799151882685
1983,2,7.11949660727,-40.4615962099569
1983,3,7.2330282805,-53.5594224427939
1983,4,162.46601549343,20.6176596035346
1983,5,192.1282221544,-127.690701298793
1983,6,430.8664518489,26.7093584284693
1983,7,346.668478119,34.4054826177932
1983,8,213.125555211,-60.6573636892824
1983,9,152.665655461,-14.3624741223053
1983,10,100.077314506,-35.1028547549736
1983,11,4.07773361,-83.7477102999612
1983,12,27.1071132912,-40.1613570556106
1984,1,48.280772322726,0.359111722835529
1984,2,79.77662636374,32.1955335465131
1984,3,68.89832664824,8.10587592494614
1984,4,51.8181086878,-90.0302472020954
1984,5,816.6160319798,496.797108526607
1984,6,386.3438870059,-17.8132064145307
1984,7,432.87582467,120.612829168793
1984,8,123.82359565,-149.959323250282
1984,9,203.3917229473,36.3635933639947
1984,10,301.247176863,166.067007602026
1984,11,47.4632120651,-40.3622318448612
1984,12,23.4612532362367,-43.8072171105739
1985,1,65.1880499452,17.2663893453095
1985,2,16.0779188116271,-31.5031740055998
1985,3,91.580028074,30.7875773507061
1985,4,204.785017463,62.9366615731046
1985,5,527.480952144441,207.662028691248
1985,6,217.36709495903,-186.789998461401
1985,7,220.685287492,-91.5777080092068
1985,8,132.594202938,-141.188715962282
1985,9,197.1510827648,30.1229531814947
1985,10,175.2545701501,40.0744008891264
1985,11,114.5166525106,26.6912086006388
1985,12,5.1427889356,-62.1256814112106
1986,1,45.8710135075,-2.05064709239047
1986,2,72.56746653151,24.9863737142831
1986,3,87.2779453392,26.4854946159061
1986,4,211.9765037405,70.1281478506046
1986,5,509.16583125,189.346907796807
1986,6,569.34063889155,165.183545471119
1986,7,198.194409054,-114.068586447207
1986,8,294.89989529,21.1169763897176
1986,9,78.91863736,-88.1094922233053
1986,10,95.61881987896,-39.5613493820136
1986,11,294.790698625,206.965254715039
1986,12,25.9448206556121,-41.3236496911985
1987,1,0.074655575,-47.8470050248905
1987,2,27.91771392777,-19.6633788894569
1987,3,105.469530604068,44.6770798807741
1987,4,85.9738114145,-55.8745444753954
1987,5,193.4413266976,-126.377596755593
1987,6,241.29882618,-162.858267240431
1987,7,454.31192168,142.048926178793
1987,8,290.343861326584,16.5609424263016
1987,9,136.241390163341,-30.7867394199641
1987,10,132.52161099401,-2.65855826696361
1987,11,82.55695905,-5.26848485996118
1987,12,50.81387523911,-16.4545951077006
1988,1,71.423285151,23.5016245511095
1988,2,2.2296156,-45.3514772172269
1988,3,116.13476625481,55.3423155315161
1988,4,111.5843207839,-30.2640351059954
1988,5,137.71897298,-182.099950473193
1988,6,485.82874201068,81.6716485902493
1988,7,215.49715787,-96.7658376312068
1988,8,375.74566494,101.962746039718
1988,9,64.04959794754,-102.978531635765
1988,10,153.51052087,18.3303516090264
1988,11,16.84417975758,-70.9812641523812
1988,12,72.46531336127,5.19684301445938
1989,1,42.584537645474,-5.33712295441647
1989,2,15.7763691261,-31.8047236911269
1989,3,27.701374683,-33.0910760402939
1989,4,20.0087289534,-121.839626936495
1989,5,88.818747412699,-231.000176040494
1989,6,486.097466708,81.9403732875693
1989,7,293.7792501855,-18.4837453157068
1989,8,295.30359994471,21.5206810444276
1989,9,66.874626536,-100.153503047305
1989,10,83.15245318,-52.0277160809736
1989,11,28.29048255758,-59.5349613523812
1989,12,189.80310166762,122.534631320809
1990,1,28.37142116898,-19.5502394309105
1990,2,58.4365563953,10.8554635780731
1990,3,144.65138263131,83.8589319080162
1990,4,164.0937648,22.2454089101046
1990,5,259.796521145,-60.0224023081927
1990,6,273.814846703305,-130.342246717126
1990,7,173.686264241,-138.576731260207
1990,8,233.6131882704,-40.1697306298824
1990,9,339.93567325836,172.907543675055
1990,10,56.31746462635,-78.8627046346236
1990,11,80.878796084,-6.94664782596118
1990,12,30.9538248619,-36.3146454849106
1991,1,26.824292,-21.0973685998905
1991,2,12.5878770245,-34.9932157927269
1991,3,46.67432309,-14.1181276332939
1991,4,245.4212749828,103.572919092905
1991,5,707.2698737355,387.450950282307
1991,6,216.009710817,-188.147382603431
1991,7,370.0670887223,57.8040932210932
1991,8,118.46590577,-155.317013130282
1991,9,184.566558611,17.5384290276947
1991,10,97.723315211,-37.4568540499736
1991,11,62.888862928,-24.9365809819612
1991,12,197.7995735835,130.531103236689
1992,1,0.36925788152,-47.5524027183705
1992,2,43.21657562624,-4.36451719098692
1992,3,64.273494194,3.48104347070613
1992,4,205.4773878605,63.6290319706046
1992,5,716.70875274,396.889829286807
1992,6,461.51129843,57.3542050095693
1992,7,179.4009982013,-132.861997299907
1992,8,140.5504400123,-133.232478887982
1992,9,208.46133600504,41.4332064217347
1992,10,166.48952666245,31.3093574014764
1992,11,43.184311292,-44.6411326179612
1992,12,86.9172916501,19.6488213032894
1993,1,43.395381638782,-4.52627896110847
1993,2,1.5018665837575,-46.0792262334694
1993,3,61.4137536201,0.621302896806142
1993,4,209.23985396534,67.3914980754446
1993,5,523.61323421807,203.794310764877
1993,6,626.3120362049,222.154942784469
1993,7,374.419600393768,62.1566048925612
1993,8,341.2437679,67.4608489997177
1993,9,70.99949249,-96.0286370933053
1993,10,133.7074518623,-1.47271739867361
1993,11,90.86958227,3.04413836003881
1993,12,110.8678226468,43.5993522999894
1994,1,36.08140054,-11.8402600598905
1994,2,22.03354395507,-25.5475488621569
1994,3,42.07945612636,-18.7129945969339
1994,4,257.222263849579,115.373907959684
1994,5,200.58118479803,-119.237738655163
1994,6,461.198061552,57.0409681315693
